"yr","blk","a1","a2","a3","a4","a5","a7","a8","a9","a10","a11","a12","bonus","pf","welfare","mwdays","nwdays","wdays","costop","expshare","mult"
"24","A","100001","99999",1,"9999","12007","01","99",2,"9999",1,4,0,0,0,0,0,0,0,0,1
"24","A","100002","99999",1,"9999","12007","01","99",2,"9999",1,1,0,0,0,306,0,306,11466542,0,1
"24","A","100003","99999",1,"9999","12007","01","99",2,"9999",1,3,0,0,0,0,0,0,0,0,1
"24","A","100004","99999",1,"9999","12007","01","99",2,"9999",1,1,0,0,3200,87,0,87,6004550,0,1
"24","A","100005","99999",1,"9999","12007","01","99",2,"9999",1,1,242900,43666,0,305,0,305,28315123,0,1
"24","A","100006","99999",1,"9999","12007","01","99",2,"9999",1,2,0,0,0,0,0,0,168145,0,1
"24","A","100007","99999",1,"9999","12007","01","99",2,"9999",1,1,0,0,0,302,0,302,8259534,0,1
"24","A","100008","99999",1,"9999","12007","01","99",1,"9999",1,1,0,0,96087,305,0,305,40182154,0,1
"24","A","100009","99999",1,"9999","35101","01","99",1,"9999",1,1,0,327885,537818,312,0,312,81594330,0,1
"24","A","100010","99999",1,"9999","10101","01","99",1,"9999",1,1,0,0,0,318,0,318,23284954,0,1
"24","A","100011","99999",1,"9999","10304","01","99",2,"9999",1,1,0,82529,0,304,0,304,8979996,0,1
"24","A","100012","99999",1,"9999","10307","01","99",2,"9999",1,1,0,0,73870,285,22,307,5631618,0,1
"24","A","100013","99999",1,"9999","10304","01","99",2,"9999",1,1,0,2065321,543804,310,0,310,406230667,0,1
"24","A","100014","99999",1,"9999","10304","01","99",2,"9999",1,1,176926,260561,49285,306,0,306,19249460,0,1
"24","A","100015","99999",1,"9999","10306","01","99",1,"9999",1,1,0,0,3975,303,0,303,5107726,0,1
"24","A","100016","99999",1,"9999","10307","01","99",2,"9999",1,1,0,0,0,83,220,303,30814584,0,1
"24","A","100017","99999",1,"9999","10304","01","99",2,"9999",1,3,0,0,0,0,0,0,0,0,1
"24","A","100018","99999",1,"9999","10306","01","99",2,"9999",1,3,0,0,0,0,0,0,169587,0,1
"24","A","100019","99999",1,"9999","10309","01","99",1,"9999",1,8,0,0,0,0,0,0,0,0,0
"24","A","100020","99999",1,"9999","10304","01","99",1,"9999",1,1,0,249823,0,295,0,295,148509091,0,1
"24","A","100021","99999",1,"9999","10304","01","99",1,"9999",1,1,0,0,282764,318,0,318,83067558,0,1
"24","A","100022","99999",1,"9999","10309","01","99",2,"9999",1,1,0,45500,1197189,318,0,318,33458833,0,1
"24","A","100023","99999",1,"9999","10402","01","99",2,"9999",1,3,0,0,0,0,0,0,0,0,1
"24","A","100024","99999",1,"9999","10402","01","99",2,"9999",1,1,546213,1247404,592294,306,0,306,1168299675,0,1
"24","A","100025","99999",1,"9999","10402","01","99",2,"9999",1,1,0,52093,46160,306,0,306,524393464,0,1
"24","A","100026","99999",1,"9999","10406","01","99",2,"9999",1,2,76554,152582,0,306,0,306,2316243,0,1
"24","A","100027","99999",1,"9999","10402","01","99",2,"9999",1,1,637950,1144470,952039,232,0,232,780971364,0,1
"24","A","100028","99999",1,"9999","10406","01","99",2,"9999",1,1,86829,172545,24883,305,0,305,36400043,0,1
"24","A","100029","99999",1,"9999","10402","01","99",2,"9999",1,1,1003456,1310701,555392,301,0,301,1034858828,0,1
"24","A","100030","99999",1,"9999","10402","01","99",2,"9999",1,1,0,131476,20498,306,0,306,126610387,0,1
"24","A","100031","99999",1,"9999","10402","01","99",2,"9999",1,1,1393723,5824458,679886,305,0,305,2427305626,0,1
"24","A","100032","99999",1,"9999","10501","01","99",1,"9999",1,1,1650000,1508200,1980113,363,0,363,453148173,0,1
