Panel,File_Identification,Schdule,Quarter,Visit,Sector,State_Ut_Code,District_Code,NSS_Region,Stratum,Sub_Stratum,Sub_Sample,Fod_Sub_Region,FSU,Sample_Sg_Sb_No,Second_Stage_Stratum_No,Sample_Household_Number,Month_of_Survey,Response_Code,Survey_Code,Reason_for_Substitution,Household_Size,Household_Type,Religion,Social_Group,Usual_Expenditure,Imputed_Homegrown_Consumption,Imputed_Wages_Consumption,Annual_Clothing_Expenditure,Annual_Durables_Expenditure,Monthly_Consumer_Expenditure,Informant_Serial_No,Survey_Date,Total_Time_Taken,NSS_Sector_Stratum_Substr_Subsam,NSC_Sector_Stratum_Substr,Subsample_Multiplier,Contrib_Sample_Count
P4,CFVH4,104,Q3,V1,1,28,20,281,01,01,1,2822,12121,1,1,01,1,2,1,,2,3,1,1,8500,2200,850,12000,1850,12704,01,18012024,  60,1,2,1204376,4
P4,CFVH4,104,Q3,V1,1,28,20,281,01,01,1,2822,12121,1,1,02,1,2,1,,4,1,1,1,8000,2600,880,15600,6800,13347,02,18012024,  60,1,2,1204376,4
P4,CFVH4,104,Q3,V1,1,28,20,281,01,01,1,2822,12121,1,2,01,1,2,1,,5,1,1,1,9000,2800,950,16000,2850,14321,02,18012024,  60,1,2,1304741,4
P4,CFVH4,104,Q3,V1,1,28,20,281,01,01,1,2822,12121,1,2,02,1,2,1,,6,1,1,1,11000,2600,920,18000,7500,16645,02,19012024,  70,1,2,1304741,4
P4,CFVH4,104,Q3,V1,1,28,20,281,01,01,1,2822,12121,1,2,03,1,1,1,,2,1,1,1,6500,1850,750,12000,2200,10283,01,19012024,  50,1,2,1304741,4
P4,CFVH4,104,Q3,V1,1,28,20,281,01,01,1,2822,12121,1,2,04,1,2,1,,6,1,1,1,9200,2850,950,19500,3500,14917,01,19012024,  60,1,2,1304741,4
P4,CFVH4,104,Q3,V1,1,28,20,281,01,01,1,2822,12121,1,3,01,1,2,1,,4,1,1,1,7200,2200,650,14000,1650,11354,01,19012024,  60,1,2,9233553,4
P4,CFVH4,104,Q3,V1,1,28,20,281,01,01,1,2822,12121,1,3,02,1,2,1,,6,1,1,1,8200,2400,870,15000,3450,13008,02,18012024,  70,1,2,9233553,4
P4,CFVH4,104,Q3,V1,1,28,25,281,01,01,2,2822,13386,1,1,01,1,1,1,,7,2,1,2,4000,0,0,20000,30000,8167,01,19012024, 120,1,2,5535480,4
P4,CFVH4,104,Q3,V1,1,28,25,281,01,01,2,2822,13386,1,1,02,1,1,1,,6,2,1,2,8000,0,0,20000,10000,10500,02,19012024,  90,1,2,5535480,4
P4,CFVH4,104,Q3,V1,1,28,25,281,01,01,2,2822,13386,1,2,01,1,1,1,,5,5,1,2,3000,0,0,5000,7000,4000,02,19012024,  90,1,2,1805048,4
P4,CFVH4,104,Q3,V1,1,28,25,281,01,01,2,2822,13386,1,2,02,1,1,1,,4,5,1,2,3000,0,0,12000,8000,4667,02,19012024,  90,1,2,1805048,4
P4,CFVH4,104,Q3,V1,1,28,25,281,01,01,2,2822,13386,1,2,03,1,1,1,,1,9,1,2,1000,0,0,5000,2000,1583,01,19012024,  30,1,2,1805048,4
P4,CFVH4,104,Q3,V1,1,28,25,281,01,01,2,2822,13386,1,2,04,1,1,1,,2,1,1,2,2000,0,0,3000,2000,2417,01,19012024,  40,1,2,1805048,4
