Day,Product_A_Sales,Product_B_Sales,Product_C_Sales,Product_D_Sales,Product_E_Sales,Total_Orders,New_Customers,Returning_Customers,Revenue_USD
"2","56","61","39","73","25","254","36","218","3302"
"3","84","50","56","78","12","280","43","237","3080"
"4","106","54","45","48","55","308","35","273","3080"
"5","49","97","62","70","20","298","24","274","2980"
"6","104","68","79","32","47","330","23","307","4290"
"7","76","67","70","73","8","294","54","240","4410"
"1","71","93","86","15","12","277","32","245","2216"
"20","88","67","20","22","6","203","44","159","2436"
"19","64","46","65","12","33","220","31","189","3300"
"18","120","95","53","52","52","372","55","317","5580"
"17","102","99","25","14","33","273","58","215","3003"
"16","100","92","37","42","57","328","49","279","4920"
"15","65","61","57","66","50","299","23","276","2691"
"14","81","74","64","60","49","328","50","278","4920"
"13","47","71","90","21","18","247","20","227","2717"
"12","90","79","65","38","56","328","46","282","4920"
"11","75","45","21","62","32","235","58","177","2115"
"10","104","42","51","61","9","267","26","241","2937"
"9","55","36","67","23","44","225","40","185","3375"
"8","69","80","73","57","45","324","47","277","4860"
